City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,anchorage,61.2181,-149.9003,0.73,91,40,1.54,US,1674531181
155,vestmannaeyjar,63.4427,-20.2734,4.9,93,100,10.59,IS,1674531277
156,flin flon,54.7682,-101.865,-19.04,97,100,1.33,CA,1674531278
157,palmer,42.1584,-72.3287,0.14,83,75,3.6,US,1674531278
158,francisco sa,-16.4758,-43.4883,21.08,95,100,0.69,BR,1674531278
159,tshela,-4.9833,12.9333,21.94,99,92,0.27,CD,1674531278
160,takoradi,4.8845,-1.7554,25.93,86,74,2.45,GH,1674531279
161,porto santo,33.072,-16.3415,16.21,63,40,4.63,PT,1674531279
162,fort portal,0.6617,30.2748,16.88,58,100,1.11,UG,1674531279
163,la ciotat,43.1748,5.6045,6.56,88,100,6.02,FR,1674531170
164,beloha,-25.1667,45.05,25.08,75,100,8.0,MG,1674531280
165,lanzhou,36.0564,103.7922,-8.35,43,9,0.8,CN,1674531280
166,rio grande,-32.035,-52.0986,21.49,66,0,3.86,BR,1674531280
167,evensk,61.95,159.2333,-13.62,71,100,11.14,RU,1674531281
168,metkovic,43.0542,17.6483,2.26,82,100,1.54,HR,1674531281
169,aksarka,66.5606,67.7975,-5.88,95,100,5.22,RU,1674531281
170,tondano,1.3038,124.9112,24.05,68,99,0.51,ID,1674531282
171,qasigiannguit,68.8193,-51.1922,-5.86,83,100,2.11,GL,1674531282
172,pisco,-13.7,-76.2167,22.03,78,0,6.17,PE,1674531283
173,ndioum,16.5129,-14.6471,21.02,27,4,3.69,SN,1674531283
174,jinchang,38.4953,102.1739,-6.44,16,21,2.39,CN,1674531283
175,klaksvik,62.2266,-6.589,8.51,97,100,7.72,FO,1674531283
176,fare,-16.7,-151.0167,25.53,81,100,5.44,PF,1674531284
177,dongfeng,42.6403,125.5118,-22.2,67,55,5.27,CN,1674531284
178,edmundston,47.3737,-68.3251,-4.03,84,100,6.17,CA,1674531284
179,katsuura,35.1333,140.3,11.01,57,99,12.01,JP,1674531227
180,challapata,-18.9,-66.7667,8.92,74,100,1.98,BO,1674531285
181,avera,33.194,-82.5271,3.73,73,0,2.49,US,1674531285
182,visnes,59.3556,5.2242,7.03,93,100,6.69,NO,1674531285
183,fria,10.4167,-13.5833,20.68,95,21,0.79,GN,1674531286
184,kalisz,51.7611,18.091,1.1,91,97,2.95,PL,1674531286
185,port moresby,-9.4431,147.1797,31.68,66,40,5.14,PG,1674531030
186,port elizabeth,-33.918,25.5701,21.84,86,0,9.77,ZA,1674531286
187,black river,18.0264,-77.8487,22.88,84,7,1.74,JM,1674531287
188,kysyl-syr,63.8986,122.7617,-37.26,97,99,2.31,RU,1674531287
189,narsaq,60.9167,-46.05,-8.88,93,100,2.2,GL,1674531287
190,vyartsilya,62.1764,30.693,-2.7,96,100,3.91,RU,1674531287
191,gladstone,-23.85,151.25,32.1,54,0,4.63,AU,1674531288
192,zonguldak,41.25,31.8333,6.04,72,100,0.88,TR,1674531288
193,kaseda,31.4167,130.3167,4.5,83,100,16.48,JP,1674531289
194,lorengau,-2.0226,147.2712,27.17,81,100,2.02,PG,1674531289
195,san ramon,37.7799,-121.978,12.12,51,0,3.09,US,1674531151
196,tessalit,20.1986,1.0114,18.22,15,0,3.45,ML,1674531290
197,iralaya,15.0,-83.2333,24.38,87,6,5.72,HN,1674531290
198,provideniya,64.3833,-173.3,-14.94,66,40,7.0,RU,1674531290
199,khatanga,71.9667,102.5,-42.02,97,41,2.81,RU,1674531291
200,zyryanka,65.75,150.85,-30.78,93,100,0.59,RU,1674531291
201,bandipur,27.9333,84.4167,17.8,16,0,0.13,NP,1674531291
202,namibe,-15.1961,12.1522,22.98,86,97,0.21,AO,1674531291
203,bosaso,11.2842,49.1816,23.29,68,59,1.91,SO,1674531291
204,norman wells,65.282,-126.8329,-30.98,76,20,0.0,CA,1674531292
205,shimoda,34.6667,138.95,11.2,56,85,13.13,JP,1674531065
206,aklavik,68.2191,-135.0107,-23.01,98,100,4.42,CA,1674531292
207,lukovetskiy,64.2956,41.9211,-11.86,93,31,4.04,RU,1674531293
208,saint-joseph,-21.3667,55.6167,22.21,80,100,1.61,RE,1674531293
209,port maria,18.3685,-76.8895,25.98,84,9,4.25,JM,1674531293
210,rancho palos verdes,33.7445,-118.387,14.57,69,0,1.79,US,1674531293
